timestamp,actual,p001,p01,p05,p25,p50,p75,p95,p99,p999,error,abs_error,is_extreme,direction_correct
2025-12-20 00:00:00,5.014999999999997,-19.958343505859375,-14.757688522338867,-9.841235160827637,-2.8404722213745117,1.0923258066177368,3.104595184326172,8.896941184997559,14.57603645324707,20.847042083740234,3.92267419338226,3.92267419338226,False,True
2025-12-20 01:00:00,6.297500000000001,-18.26839256286621,-13.321406364440918,-8.469017028808594,-1.8169537782669067,1.8183555603027344,3.8679115772247314,9.293461799621582,14.730669975280762,20.952911376953125,4.479144439697267,4.479144439697267,False,True
2025-12-20 02:00:00,2.5649999999999995,-22.995847702026367,-17.00592041015625,-10.820326805114746,-3.0677809715270996,1.0341137647628784,3.303027391433716,8.781947135925293,14.45289134979248,21.416358947753906,1.530886235237121,1.530886235237121,False,True
2025-12-20 03:00:00,1.5649999999999995,-11.224214553833008,-6.78491735458374,-3.9307382106781006,1.1751140356063843,4.127875328063965,5.872522830963135,10.822157859802246,16.02641487121582,22.21839141845703,-2.5628753280639653,2.5628753280639653,False,True
2025-12-20 04:00:00,0.045000000000001705,-19.057008743286133,-13.67044448852539,-8.600521087646484,-1.5854682922363281,2.180422306060791,4.26395320892334,9.515213966369629,15.050551414489746,21.942222595214844,-2.1354223060607893,2.1354223060607893,False,True
2025-12-20 05:00:00,0.027499999999999858,-22.400686264038086,-16.0617618560791,-9.896512031555176,-2.3832600116729736,1.7848917245864868,4.050202369689941,9.51162338256836,15.447429656982422,22.816219329833984,-1.757391724586487,1.757391724586487,False,True
2025-12-20 06:00:00,2.294999999999998,-16.94839096069336,-10.96247673034668,-6.550173282623291,-0.09470665454864502,3.4063618183135986,5.604440689086914,10.851978302001953,16.762372970581055,23.93929672241211,-1.1113618183136005,1.1113618183136005,False,True
2025-12-20 07:00:00,1.7525000000000013,-32.286102294921875,-23.10426902770996,-13.838881492614746,-4.224663257598877,1.1478354930877686,4.160491943359375,10.491148948669434,17.20337677001953,26.311927795410156,0.6046645069122327,0.6046645069122327,False,True
2025-12-20 08:00:00,7.870000000000001,-12.68930435180664,-6.445804119110107,-2.475670337677002,3.501272201538086,6.628543853759766,8.846074104309082,14.872230529785156,21.365169525146484,28.366498947143555,1.2414561462402354,1.2414561462402354,False,True
2025-12-20 09:00:00,3.8774999999999995,-17.09170913696289,-8.585457801818848,-4.000522613525391,2.0468664169311523,4.742456912994385,7.353838920593262,12.911683082580566,19.22085189819336,26.25116539001465,-0.8649569129943853,0.8649569129943853,False,True
2025-12-20 10:00:00,-2.4299999999999997,-22.320096969604492,-10.935578346252441,-5.445585250854492,0.9653918743133545,3.738093137741089,6.591084003448486,12.072158813476562,17.93492889404297,25.297222137451172,-6.168093137741089,6.168093137741089,False,False
2025-12-20 11:00:00,0.6624999999999996,-26.66126251220703,-11.176698684692383,-5.474460601806641,0.883941650390625,3.6535754203796387,6.332340240478516,11.842344284057617,16.967655181884766,24.75794792175293,-2.991075420379639,2.991075420379639,False,True
2025-12-20 12:00:00,6.9775,-28.31721305847168,-9.771771430969238,-4.5258073806762695,1.3333407640457153,3.8873541355133057,6.215482711791992,11.487533569335938,15.818816184997559,24.271718978881836,3.0901458644866944,3.0901458644866944,False,True
2025-12-20 13:00:00,8.91,-28.01708221435547,-9.135479927062988,-4.482646942138672,1.4418072700500488,3.806863784790039,6.246109485626221,11.503239631652832,15.652715682983398,23.95738410949707,5.103136215209961,5.103136215209961,False,True
2025-12-20 14:00:00,9.9175,-29.220251083374023,-8.06134033203125,-3.8295459747314453,1.6712816953659058,4.071369171142578,6.206953525543213,11.188453674316406,14.686172485351562,23.939855575561523,5.846130828857422,5.846130828857422,False,True
2025-12-20 15:00:00,8.7475,-31.38926124572754,-11.339143753051758,-6.356107711791992,0.18987753987312317,2.762380838394165,5.09103536605835,10.299044609069824,14.423287391662598,23.338642120361328,5.9851191616058355,5.9851191616058355,False,True
2025-12-20 16:00:00,-7.289999999999999,-57.10932540893555,-35.50160598754883,-22.82488250732422,-11.582380294799805,-6.1798810958862305,-3.37502121925354,0.8120352029800415,5.252228260040283,15.89846420288086,-1.1101189041137687,1.1101189041137687,False,True
2025-12-20 17:00:00,-6.710000000000001,-93.732421875,-73.53548431396484,-49.67801284790039,-28.158323287963867,-16.75122833251953,-12.65150260925293,-9.492818832397461,-7.314695358276367,1.4903311729431152,10.04122833251953,10.04122833251953,False,True
2025-12-20 18:00:00,8.189999999999998,-43.70273971557617,-26.927125930786133,-14.337469100952148,-2.449258327484131,2.66626238822937,6.911322593688965,14.024778366088867,22.075239181518555,34.65186309814453,5.523737611770628,5.523737611770628,False,True
2025-12-20 19:00:00,4.475000000000001,-27.81551170349121,-12.598825454711914,-4.371024131774902,4.445974826812744,9.156257629394531,13.104301452636719,21.223363876342773,29.289859771728516,42.75457000732422,-4.68125762939453,4.68125762939453,False,True
2025-12-20 20:00:00,7.004999999999999,-23.86272430419922,-11.15447998046875,-4.866465091705322,3.8914129734039307,8.238908767700195,11.958375930786133,19.78123664855957,27.99124526977539,39.94203567504883,-1.2339087677001963,1.2339087677001963,False,True
2025-12-20 21:00:00,7.27,-13.79367446899414,-5.2132487297058105,-1.9357473850250244,4.793067455291748,8.00935173034668,10.720718383789062,17.380586624145508,24.70818519592285,33.86231994628906,-0.7393517303466801,0.7393517303466801,False,True
2025-12-20 22:00:00,6.91,-15.883731842041016,-7.7037224769592285,-3.933866262435913,2.9984383583068848,6.342470169067383,8.834115028381348,14.817816734313965,21.99180793762207,30.785419464111328,0.5675298309326173,0.5675298309326173,False,True
